"Tanggapan PLN Usai Dituding Larang Pengendara Motor Listrik Isi Daya","Tanggapan PLN Lempus Tenuding Muang Kabant Pengendara Honda Listrik Kusiq Daya"
"Perusahaan Listrik Negara (PLN) buka suara soal video viral pengendara motor listrik bernama Riza Adriana yang mengaku tak dikasih izin mengisi daya di pom mereka.","Perusahaan Listrik Negara (PLN) mogaq genoh soal video yaq viral kabant pengendara honda yaq nyamai ke Riza Adriana yaq ngakuq hek tenarent izin non kusiq daya di POM kebeleh"
"PLN mengaku, pihaknya tak pernah melakukan pelarangan.","PLN unah ngakuq, bahwa kebeleh kaheq tekant muang"
"Sebelumnya, curhatan yang dibagikan Riza Adriana viral di media sosial. Dia yang touring dari Jakarta ke Bali bersama teman-temannya kehabisan daya dan memutuskan melipir ke PLN UP3 yang bertempat di Malang, Jawa Timur.","Seginaq keh, curhatan(kesah) yaq temahagiq Riza Adriana yaq viral di media sosial. Uhaq kan touring behonda tek Jakarta je Bali bero kabat oyoq ke, terus pas mpeq Malang honda kebeleh daai daya dan ulunt memutuskan non raduq je PLN UP 3 yaq di Malang, Jawa Timur" 
"Namun, petugas setempat melarangnya dan meminta rombongan pergi ke SPLU Rampal.","Namun, Mpeq maneh petugas keh muang dan nakiq kebeleh kaat je SPBU Rampal"
"Padahal, ketika itu, baterai motor listrik yang mereka kendarai sudah benar-benar habis.","Padahal yaq watu aneh, baterai honda listrik kebeleh pakai neh bujur-bujur sok lengih"
"Sementara mengisi daya roda dua diklaim mudah dan hanya tinggal menghubungkan casan ke stop kontak saja.","Sementara kusiq daya roda regaq neh sebenarke mudah kadi ngehubung casan ke je stop kontak beneh"
"PLN yang telah mendengar kabar tersebut mulanya meminta maaf dengan apa yang dialami Riza dan teman-teman.","PLN yaq keheneng kabar aneh awal ke nakiq maaf atas yaq soq dialami Riza dan kabant oyoq ke"
"Hal itu disampaikan langsung Anas Febrian selaku Manager Humas PLN Jawa Timur.","Yaneh temareq langsung Anas Febrian selaku Manager Humas PLN Jawa Timur"
"Menanggapi keluhan akun Riza Ardiana yang disampaikan melalui medsos tanggal 15 November, PLN menyampaikan permohonan maaf atas ketidaknyamanan yang terjadi, demikian respons Anas saat dihubungi detikOto.","Menaggapi keluhan akun Riza Ardiana yaq disampaikan melalui medsos tanggal 15 (limaq belas) November, PLN nakiq maaf atas ke kaheq nyamanan yaq sok terjadi, maneh respons Anas watu tenghubungi detikOto."
"Anas menjelaskan, di PLN UP3 Malang hanya tersedia satu SPKLU untuk mobil listrik.","Anas menjelaskan, dek PLN UP3 Malang kadi tersedia 1(bueh) SPKLU non oto listrik"
"Sehingga, pom untuk motor listrik berupa SPLU masih belum tersedia.","Sehingga, pom non honda listrik berupa SPLU maseh ginaq bak"
"Kini, di Malang baru ada 8 SPLU dan yang terdekat memang berada di Rampal yang berjarak 1 km dari UP3.","watu tih, dek Malang ise bak 8 SPLU dan yaq tertotoi memang yaq baq dek Rampal yaq berjarak 1(bueh)KM tek UP3. "
"Singkatnya bukan nggak boleh ya, fasilitasnya (SPLU) memang belum tersedia, sehingga diarahkan petugas ke SPLU terdekat,"" ungkapnya.","“Singkat ke bukan kaheq ulih yaq, fasilitaske (SPLU) memang ginaq tersedia,” gahai ke."
"Kronologi Kasus Penasaran dengan kronologinya, detikOto langsung menghubungi Riza Ardiana melalui sambungan telepon.","Konologi Kasus Penasaran dang kronologi ke, detikOto langsung menghubung Riza Ardiana libas telpon"
"Dia memastikan, apa yang dibagikan di media sosial memang benar.","Uhaq memastikan, nyama yaq temahagiq dek sosial media neh memang kenai."
"Dia dan rombongan lain yang berjumlah empat orang mendapat sambutan kurang ramah dari petugas setempat.","Uhaq dang kabant oyoq ke pat kongaq ngeliant sambutan yaq kaheq ramah tek petugas setempat"
"Baterai kita ketika itu sudah habis.",B"aterai kamiq watu aneh soq daai."
"Ketika masuk, kita ketemu satpam.","Watu tamaq, kamiq teruq satpam."
"Dia kemudian mengenalkan kami ke Pak Kukuh, dia penanggung jawab di SPKLU sini.","Uhaq kemudian mengenalkan kamiq je Pak Kukuh, uhaq penanggung jawab deq SPKLU"
"Saya menghampiri dia dengan sopan, saya bilang lagi touring dan kehabisan baterai. Terus langsung dijawab nggak bisa kalau di sini,"" cerita Riza kepada detikOto.","Ap kekat je uhaq dang sopan, ap pareq lagiq touring dan kehabisan baterai. Terus langsung tenyahut kaheq ulih amun ditih, “kesah Riza je detikOto."
"Kata Riza, ketika itu baterai motor dia dan rombongannya sudah benar-benar kritis.","Gahant Riza, watu aneh batrai honda uhaq dang kabant oyoq bujur-bujur soq kritis."
"Dia sempat memohon ke petugas tersebut untuk bisa membantunya.","Uhaq hawat memohon je petugas tersebut non ulih awat uhaq"
"Sebab, mengecas motor listrik sama seperti ponsel, bisa di mana saja.","Sebab ngecas honda listrik neh samaq tiah ponsel, ulih di dinya ogeq."
"Pak Kukuh kemudian pergi meninggalkan kami. Kami bawa (chargeran portable) sendiri dari rumah.","Pak Kukuh, kemudian bahau nemaq kamiq. Kamiq emeq (chargeran portable) diri teq dapeq"
"Itu bisa pakai listrik biasa, nggak aneh-aneh, kata dia.","ijoq ulih pakai listrik biasa, hek paleh-paleh, gahant uhaq." 
"Riza mengatakan, sebelumnya dia dan rombongan juga sempat melakukan pengisian daya di SPKLU Wates, Jawa Tengah.","Riza pareq, seginaq ke uhaq dang kabant oyoq sempat agi kusiq daya dek SPKLU Wates, Jawa Tengah. Pihaknya mengaku mendapat pelayanan yang baik. Namun, hal yang sama tak didapat saat berada di PLN UP3 Malang. Pihak ke ngakuq ngeliant pelayanan yaq pajik. Namun, hal yaq samaq heq tengeliant watu baq dek PLN UP3 Malang"
"Setelah mendapat penolakan, Riza dan teman-teman akhirnya memutuskan mencari hotel terdekat untuk istirahat sambil mengisi daya motor.","Lempus ngeliant penolakan, Riza dang kabant oyoq akhir ke memutuskan elau hotel tertotoi non raduq samer kusiq daya honda" 
"Mereka tak menuju Rumpal seperti yang disarankan petugas.","Ulunt kaheq kekat je Rampal tiah yaq soq tenyarankan petugas"
"Ran, PR bahasa Indonesia kamu sudah kamu kerjakan belum?","Ran, PR gahau Indonesia koi sok tenengan?"
"Belum.","Ginaq"
"Kamu sudah?","Koy sook?"
"Aku juga belum.","Akui ginak agi"
"Kamu mau tidak nanti malam belajar kelompok?","Koy ewah kaheq kelamp atih bahacar kelompok?"
"Kita kerjakan PR itu bersama-sama.","Tay bahan PR aneh bero."
"Tapi, di rumah aku saja ya?","Tapi de dapeq akui ogek yak."
"Ya.","Oi"
"Nanti aku ke rumahmu sekitar jam setengah delapan.","Atih akui ja dapek koi nyengkelakng jam setengah kalukng"
"Aku tunggu kamu di rumahku.","Aku nyentinap koi de dapek ap."
"Siang itu lima sekawan yakni Danu, Dina, Dita, Didi, dan Dadang sepakat untuk mengerjakan tugas sepulang sekolah bersama.","Kemegaaq aneh limaq seroyoq yakneq Danu, Dina, Dita, Didi dang Dadang sempekat non bahatn muliq etek sekolah bero."
"Nanti kita kerjakan tugas di tempat biasa ya teman-teman.","Atih tai bahan tugas di anyak suah yak oyok-oyok."
"Di balai desa atau di rumah Danu?","De balai desa apan de dapeq Danu?"
"Di balai desa saja.","De balai desa ogeq."
"Baiklah teman-teman.","Pajiq oyoh-oyoh."
"Kalau begitu saya pulang ganti baju dan makan dulu baru saya ke balai desa.","Aman maneh ap muliq alik besoloq sapai dang kuman laih jongkaq ap ja balai desa."
"Setelah mereka semua pulang ke rumah masing-masing dan jam menunjukkan pukul empat sore, Dina, Dita, dan Didi segera berangkat menuju balai desa.","Selempus eraq dai muliq ja dapiq masing-masing dan jam sok merujuk jam epat uhikng, Dina, Dita dang didi gamit jungkat ja balai desa."
"Hanya Danu yang tidak berangkat karena sepulang sekolah ia tertidur pulas dan lupa jika sudah sepakat mengerjakan tugas.","Kadi Danu yak kaheq jungkat sision muliq sekolah isaq tetiro jenak taloh likut."
"Danu mana ya?","Danu dinya yah?"
"Sudah hampir jam lima dia tak kunjung datang.","Soq totai jam limaq uhaq ginaq moot"
"Jangan-jangan dia lupa jika sekarang kita akan mengerjakan tugas?","Botek-botek uhaq likut tempotih taai ngantakng bahant tugas?"
"Atau mungkin dia mengira kalau kita akan mengerjakan tugas di rumahnya.","Man kaheq uhaq nyanah aman taai ngantakng bahant de dapeq."
"Sebaiknya kita ke rumahnya mungkin dia sudah menunggu kita.","Kae sepajik ke taai ja dapeq ke bisa uhaq sooq muguq taai."
"Mungkin dia ada urusan tetapi lupa memberitahu kita.","Bisa uhaq bak urusan nyengke likut pareq taai."
"Kita tunggu saja disini sembari menyelesaikan separuh tugas.","Taai nyentinap ogek de ditih samer nyehung bele."
"Mereka berempat mengerjakan tugas bersama terlebih dahulu sembari menunggu kedatangan Danu.","Eraq epat bahant tugas bero ngaq akui samer nuguq pengemot Danu."
"Setelah jam tangan Dadang menunjukkan angka pukul 5:30 sore, terlihat dari jauh anak laki-laki terengah-engah berlari membawa tas.","Selempus jam angak Dadang munyuk ja angka pukul 5.30 uhikng, tengitent etek encok tuhuq lihaq kohek kedek teliuk nemeq tas."
"Tuh kan, Danu baru kemari.","To kan, Danu ese metih."
"Eh.. iya.","Eh.. oi."
"Tetapi kenapa dia berlari seperti dikejar hantu dan memakai seragam sekolah?","Tapi nyama uhaq teliuk tiah tengelisuh menteluh taloh engkat seragam sekolah?"
"Teman-teman?","Oyok-oyok?"
"Sedang apa kalian sepagi ini di balai desa?","Lagiq nyama kamp usur-usur metih de balai desa?"
"Apa kalian tidak takut terlambat ke sekolah?","Nyama kamp kaheq bihitn lat sekolah?"
"Seketika Dita, Dina, Didi dan Dadang tertawa terbahak-bahak.","Seketika Dinta, Dina Didi dan Dadang nyengkerak tagaq."
"Ini masih sore, Danu.","Itih huge uhikng, Danu."
"Pasti kamu baru bangun tidur kan?","Pasti kooi ese pahau tiro kan?"
"Makanya Dan, kita dilarang tidur sampai hampir petang.","Mahake Dan, taai temuang tiro empeq uhikng."
"Wajah Danu memerah disertai rasa malu dan menyesal.","Ue Danu ngempohongk taloh rasan mangan dang nesar."
"satu","bueq"
"dua","regaq"
"tiga","teluq"
"empat","path"
"lima","limaq"
"enam","hagatn"
"tujuh","tucukh"
"delapan","kalunk"
"sembilan","setiant"
"sepuluh","sawang"
"sebelas","sebelas"
"dua belas","regaq belas"
"aku","akuq"
"aku","af"
"aku","kayooq"
"kau","koq"
"kau","koi"
"kau","awak"
"dia","saaq"
"dia","uhaq"
"mereka","eraaq"
"kami","kamiq"
"kalian","kamp"
"mamaku","men kaoyoq"
"mamaku","men koo"
"mamamu","mem"
"mamanya","me ke"
"bapakku","taman kayoq"
"bapakku","taman koo"
"bapakmu","tamam"
"bapaknya","tamai ke"
"nenek","mpon waweq"
"kakek","mpon lihaq"
"kakak","tungkaaq"
"kakakku","tungkai koo"
"kakakmu","tungkapm"
"adik","gari"
"adikku","garin koo"
"adikku","garin kayoq"
"tante","bibi"
"paman","uncuq"
"teman","oyooq"
"makan","kuman"
"lupa","likut"
"ingat","mingat"
"jangan","aduui"
"tidak","kaheq"
"tidak","heq"
"nasi","kanaan"
"merokok","ngudut"
"mandi","menu"
"mandi","nu"
"pergi","kaat"
"bawah","iwe"
"ke bawah","jiweeq"
"bawahnya","diweeq ke"
"di bawah","diweeq"
"atas","mooq"
"ke atas","jemooq"
"atasnya","demooq ke"
"di atas","demooq"
"samping","silai"
"sudah","sooq"
"sudah","soq"
"belum","ginaaq"
"kau cantik","koq daraq"
"kau ganteng","koq terunaq"
"kau jelek","koq pejai"
"anjing","kokoq"
"kucing","meong"
"babi","boleq"
"babi hutan","saping"
"ular","nipaa"
"burung","empuluuq"
"ikan","metuuq"
"durian","hojan"
"nangka","nakan"
"langsat","lehant"
"rambutan","runukng"
"pisang","jelooq"
"pepaya","gedakng"
"mimpi","tupiq"
"minum air putih","muruuq anum puitiiq"
"nama kau siapa?","nyaman koq unya ?"
"nama saya ...","nyaman kayooq ."
"kau tinggal di mana?","koq diapm de dinya ?"
"aku tinggal di ..","akuq diapm de .."
"sudah makan kah?","soq kuman ah ?"
"sudah tadi makan di rumah","soq nyi kuman de dapeeq"
"aku mau ke rumah temanku","akuq ewah je dapeq oyooq kooq."
"aku suka sama kamu","akuq ewah dang koq"
"mau tidak jadi pacar aku?","ewah kaheeq jadi pacar kayooq ?"
"nama pacarmu siapa?","nyaman pacar kemp unya ?"
"aku rindu sama kamu","akuq linggo dang koq"
"kemarin saya bertemu dengan dia","naumuhing akuq berempuh dang uhaq"
"siapa yang mau jadi pacar saya?","unya yaq ewah jadin pacar kayoq ?"
"kami ada di sini","kamiiq de ditih"
"kalian ada di mana?","kamp baq de dinya ?"
"saya mau makan","ap ewah kuman"
"dilarang merokok","temuang ngudut"
"makan nasi","kuman kanaan"
"aku","akuq"
"aku","af"
"aku","kayooq"
"kamu","koq"
"kamu","koi"
"kamu","awak"
"dia","saaq"
"dia","uhaq"
"mereka","eraaq"
"kami ada disini","kamiiq de ditih"
"kalian ada dimana","kamp baq de dinya"
"saya mau makan","ap ewah kuman"
"lupa","likut"
"ingat","mingat"
"jangan","aduui"
"tidak","kaheq"
"tidak","heq"
"dilarang merokok","temuang ngudut"
"makan nasi","kuman kanaan"
"mandi","menu"
"mandi","nu"
"pergi","kaat"
"bawah","iwe"
"ke bawah","jiweeq"
"bawahnya","diweeq ke"
"di bawah","diweeq"
"atas","mooq"
"ke atas","jemooq"
"atasnya","demooq ke"
"di atas","demooq"
"samping","silai"
"sebelah","silai"
"minum air putih","muruuq anum puitiiq"
"nama kamu siapa","nyaman koq unya"
"nama saya","nyaman kayooq"
"kamu tinggal dimana","koq diapm de dinya"
"saya tinggal di","akuq diapm de"
"sudah makan kah","soq kuman ah"
"sudah tadi makan di rumah","soq nyi kuman de dapeeq"
"aku mau ke rumah teman ku","akuq ewah je dapeq oyooq kooq"
"aku suka sama kamu","akuq ewah dang koq"
"mau tidak jadi pacar aku","ewah kaheeq jadi pacar kayooq"
"nama pacarmu siapa","nyaman pacar kemp unya"
"sudah","sooq"
"belum","ginaaq"
"aku rindu sama kamu","akuq linggo dang koq"
"kemarin saya ketemu dengan dia","naumuhing akuq berempuh dang uhaq"
"siapa yang mau jadi pacar saya","unya yaq ewah jadin pacar kayoq"
"kamu cantik","koq daraq"
"kamu ganteng","koq terunaq"
"kamu jelek","koq pejai"
"mama ku","men kaoyoq"
"mama ku","men koo"
"mamamu","mem"
"mamanya","me ke"
"bapak ku","taman kayoq"
"bapak ku","taman koo"
"bapakmu","tamam"
"bapaknya","tamai ke"
"nenek","mpon waweq"
"kakek","mpon lihaq"
"kakak","tungkaaq"
"kakak ku","tungkai koo"
"kakakmu","tungkapm"
"adik","gari"
"adik ku","garin koo"
"adik ku","garin kayoq"
"tante","bibi"
"om","uncuq"
"teman","oyooq"
"anjing","kokoq"
"kucing","meong"
"babi","boleq"
"babi hutan","saping"
"ular","nipaa"
"burung","empuluuq"
"ikan","metuuq"
"durian","hojan"
"nangka","nakan"
"langsat","lehant"
"rambutan","runukng"
"pisang","jelooq"
"pepaya","gedakng"
"mimpi","tupiq"
"satu","bueq"
"dua","regaq"
"tiga","teluq"
"empat","path"
"lima","limaq"
"enam","hagatn"
"tujuh","tucukh"
"delapan","kalunk"
"sembilan","setiant"
"sepuluh","sawang"
"sebelas","sebelas"
"dua belas","regaq belas"
"abu","ahuq"
"akar","akar"
"rambut","alaw"
"bahwa","aneh"
"air","anum"
"tangan","angaq"
"saya","ap"
"api","apuy"
"mereka","araq aneh"
"awan","awan"
"berkata","bagahaq"
"berat","bahat"
"bahu","bahuq"
"pukul","bajagur"
"batu","batuq"
"kerja","bekerjai"
"hidup","belum"
"bengkak","bengkak"
"tiup","bertiup"
"takut","bihin"
"bintang","bintang"
"basah","bisaq"
"putih","bohong"
"bulu","buluq"
"busuk","buruk"
"jarum","cahumph"
"berjalan","calan"
"garam","cehaq"
"lidah","celaq"
"duduk","dacung"
"dan","dan"
"rumah","dapeq"
"debu","debu"
"di","deq"
"dalam","deq lam"
"di dalam","deq lam"
"mana?","dinya"
"sayap","ekap"
"burung","empuluq"
"kabut","emun"
"masak","encak"
"jauh","enco q"
"rokok","encun"
"besar","hajaq"
"cacing","halang"
"pendek","idok"
"ekor","ingkot"
"baru","isay"
"dia","isaq"
"ini","itih"
"kecil","itit"
"di bawah","iweeq"
"kusam","kacar"
"tumpul","kacar"
"tidak","kaheq"
"buruk","kaheq pajik"
"jahat","kaheq pajik"
"malam","kalam"
"jika","kalaw"
"anda","kam"
"kami","kamiq"
"tebal","kapar"
"endus","karak"
"mencium","karak"
"berenang","karangoy"
"dengar","keheneŋ"
"kering","keheneŋ"
"benar","kenay"
"betul","kenay"
"danau","kenohan"
"gigi","kesiŋ"
"anjing","kokoq"
"engkau","koq"
"kepala","kuhung"
"kulit","kulit"
"makan","kuman"
"kuning","kuning"
"kutu","kutuq"
"tulang","lah"
"lain","lain"
"luas","lajah"
"langit","langit"
"laut","launt"
"kayu","lengan"
"laki-laki","lihaq"
"hati","limpa"
"lemak","loaq"
"minyak","loaq"
"leher","lohong"
"jalan","lorong"
"jalur","lorong"
"berburu","mahaw"
"tusuk","mancak"
"menusuk","mancak"
"kotor","marotaq"
"tajam","masuk"
"mati","mateq"
"ayah","maq"
"ikat","mecat"
"kencangkan","mecat"
"ludah","mecuh"
"bagi","mekaq"
"ikan","metuq"
"ibu","meq"
"hitung","milang"
"pilih","miliiq"
"buka","mogeq"
"ungkap","mogeq"
"tanam","molaq"
"datang","moot"
"hisap","mosoq"
"potong","motok"
"panjang","moq"
"minum","muruq"
"hijau","nahum"
"perut","naiq"
"nama","nama"
"apa?","nyama"
"tangis","nangi"
"hari","naw"
"lihat","neaw"
"tembak","nemak"
"belok","nencang"
"telinga","neneng"
"pegang","nengkat"
"ular","nipaq"
"lempar","noak"
"muntah","notaq"
"mimpi","nyubi"
"bakar","nutung"
"jahit","ngabet"
"gali","ngaliq"
"bagaimana?","ngamenya"
"nafas","ngasang"
"gigit","nget"
"garuk","ngerogot"
"mulut","oncong"
"baik","pajik"
"bunuh","pakateq"
"pasir","pasir"
"tua","pelegaq"
"hangat","perang"
"peras","peras"
"hitam","peremaq"
"dingin","perengin"
"berpikir","pikir"
"kapan?","pinan"
"belakang","pungung"
"merah","putiq"
"cabang","raatn"
"darah","rahaq"
"daun","roun"
"istri","sagan"
"atap","sapaw jemiaq"
"sempit","sempit"
"semua","semua"
"tertawa","tagaq"
"tali","taliq"
"telur","talo"
"hutan","talun"
"bumi","tanaq"
"tanah","tanaq"
"jatuh","tatuy"
"tahun","taun"
"kanan","tauq"
"kita","tay"
"berdiri","tege"
"baring","tempong"
"terbang","terbang"
"tipis","tipi"
"tidur","tiro"
"tahu","togaq"
"susu","tosoq"
"dekat","totoq"
"anak","tuhiq"
"hujan","ucan"
"mata","uee"
"buah","ugan"
"bulan","ulanth"
"kiri","ulay"
"orang","ulun"
"siapa?","unya"
"kaki","uneng"
"bunga","ungan"
"hidung","urung"
"rumput","uruq"
"daging","usiq"
"usus","usiq ngaiq"
"angin","waheo"
"suami","wanaq"
"perempuan","waweq"
"satu","bueq"
"dua","regaq"
"tiga","telu"
"empat","pat"
"lima","limaq"
"enam","hagant"
"tujuh","tucuq"
"delapan","kalungk"
"sembilan","tiant"
"sepuluh","sawaakng"
"seratus","cehatu"
"seribu","seribuq"
"Cantik","daraaq"
"Ganteng","terunaq"
"Jelek","pejai"
"Nakal","nakar"
"Jauh","ncok"
"Dekat","totoq"
"Dekat","totoi"
"Baik","bajik"
"Bagus","pore"
"Kamu cantik sekali","koq daraaq lebi"
"Kamu cantik sekali","daraaq lebi koi"
"Rumahmu jauh sekali","dapeq koi ncok"
"Jalanan ini jelek sekali","alaq tih pejai sepateq"
"Itu","ijoq"
"Itu","itee"
"Itu","eneh"
"Ini","itih"
"Ini","ineq"
"Ini","ihiiq"
"Ke Sana","meto"
"Ke Sana","mete"
"Ke Situ","mejoq"
"Ke Sini","metih"
"Ke Sini","mehiq"
"Di sana","dedito"
"Di sana","dite"
"Di sana","daneh"
"Di situ","dedijoq"
"Di sini","deditih"
"Di sini","dineq"
"Di mana","dedinya"
"Di mana","dinya"
"Atas","moq"
"Diatas","demoq"
"Bawah","iweq"
"Dibawah","diweq"
"Dibawah","dinaa"
"Samping","silai"
"Disamping","desilai"
"Kiri","ulai"
"Kanan","taoq"
"Ujung","ompor"
"Diujung","diompor"
"Letak","lak"
"Sebelah kiri","lak ulai"
"Sebelah kanan","lak taoq"
"Rumah","dapeeq"
"Halaman","natar"
"Tangga","kecaatn"
"Pintu","nagaakng"
"Jendela","ongat"
"Kaki rumah","tempoor"
"Kolong","nasemooq"
"Atau","sapau"
"Dapur","likuuq"
"Kepala","kuhuukng"
"Mata","we"
"Rambut","alau"
"Telinga","neneng"
"Dahi","kenaat"
"Pipi","sepekng"
"Mulut","oncookng"
"Dagu","daguq"
"Gigi","kesiikng"
"Lidah","celaq"
"Wajah","we"
"Leher","lohookng"
"Dada","dadaq"
"Payudara","tosoq"
"Tangan","angaq"
"Tangan","kangaq"
"Kaki","unekng"
"Jari","gerigiq"
"Betis","benteet"
"Paha","paaq"
"Kuku","kukuuq"
"Perut","naiq"
"Ketiak","kerkaq"
"Duduk sendiri sambil bikin api","Dacukng diri samer nengaq apuui"
"Kamu lagi ngapain cantik", "Koi lagi ngaq nyama daraq"
"Kamu lagi ngapain ganteng", "Koq lagi ngaq nyama terunaq"
"Januari","Kapat"
"Februari","Kanam"
"Maret","Puyuuk"
"April","Pejangaaq"
"Mei","Pengerai"
"Juni","Kehekng Kasaq"
"Senin","Mulaaq"
"Selasa","Ameeq"
"Rabu","Iriikng"
"Kamis","Akui"
"Jumat","Maet"
"Sabtu","Antaakng"
"Minggu","Raduuq"
"memancing","ngeriwih"
"Selamat pagi menjelang siang","Selamat usur menjelang kenekng"
"ibu, bapak, kakek, nenek","meq, tamaq, boq lihaq, boq waweq"
"aku","aap"
"saya", "aap"
